Old build artifact,AndroidX build artifact,,
android.arch.core:common,androidx.arch.core:core-common,Xamarin.Android.Arch.Core.Common,Xamarin.AndroidX.Arch.Core.Core.Common
android.arch.core:core,androidx.arch.core:core,,
android.arch.core:core-testing,androidx.arch.core:core-testing,,
android.arch.core:runtime,androidx.arch.core:core-runtime,Xamarin.Android.Arch.Core.Runtime,Xamarin.AndroidX.Arch.Core.Runtime
android.arch.lifecycle:common,androidx.lifecycle:lifecycle-common,Xamarin.Android.Arch.Lifecycle.Common,Xamarin.AndroidX.Lifecycle.Common
android.arch.lifecycle:common-java8,androidx.lifecycle:lifecycle-common-java8,,
android.arch.lifecycle:compiler,androidx.lifecycle:lifecycle-compiler,,
android.arch.lifecycle:extensions,androidx.lifecycle:lifecycle-extensions,Xamarin.Android.Arch.Lifecycle.Extensions,Xamarin.AndroidX.Lifecycle.Extensions
android.arch.lifecycle:livedata,androidx.lifecycle:lifecycle-livedata,Xamarin.Android.Arch.Lifecycle.LiveData,Xamarin.AndroidX.Lifecycle.LiveData
android.arch.lifecycle:livedata-core,androidx.lifecycle:lifecycle-livedata-core,Xamarin.Android.Arch.Lifecycle.LiveData.Core,Xamarin.AndroidX.Lifecycle.LiveDataCore
android.arch.lifecycle:reactivestreams,androidx.lifecycle:lifecycle-reactivestreams,,
android.arch.lifecycle:runtime,androidx.lifecycle:lifecycle-runtime,Xamarin.Android.Arch.Lifecycle.Runtime,Xamarin.AndroidX.Lifecycle.Runtime
android.arch.lifecycle:viewmodel,androidx.lifecycle:lifecycle-viewmodel,Xamarin.Android.Arch.Lifecycle.ViewModel,Xamarin.AndroidX.Lifecycle.ViewModel
android.arch.paging:common,androidx.paging:paging-common,,
android.arch.paging:runtime,androidx.paging:paging-runtime,,
android.arch.paging:rxjava2,androidx.paging:paging-rxjava2,,
android.arch.persistence.room:common,androidx.room:room-common,,
android.arch.persistence.room:compiler,androidx.room:room-compiler,,
android.arch.persistence.room:guava,androidx.room:room-guava,,
android.arch.persistence.room:migration,androidx.room:room-migration,,
android.arch.persistence.room:runtime,androidx.room:room-runtime,,
android.arch.persistence.room:rxjava2,androidx.room:room-rxjava2,,
android.arch.persistence.room:testing,androidx.room:room-testing,,
android.arch.persistence:db,androidx.sqlite:sqlite,,
android.arch.persistence:db-framework,androidx.sqlite:sqlite-framework,,
com.android.support.constraint:constraint-layout,androidx.constraintlayout:constraintlayout,,Xamarin.AndroidX.ConstraintLayout.ConstraintLayout
com.android.support.constraint:constraint-layout-solver,androidx.constraintlayout:constraintlayout-solver,,Xamarin.AndroidX.ConstraintLayout.Solver
com.android.support.test.espresso.idling:idling-concurrent,androidx.test.espresso.idling:idling-concurrent,,
com.android.support.test.espresso.idling:idling-net,androidx.test.espresso.idling:idling-net,,
com.android.support.test.espresso:espresso-accessibility,androidx.test.espresso:espresso-accessibility,,
com.android.support.test.espresso:espresso-contrib,androidx.test.espresso:espresso-contrib,,
com.android.support.test.espresso:espresso-core,androidx.test.espresso:espresso-core,,
com.android.support.test.espresso:espresso-idling-resource,androidx.test.espresso:espresso-idling-resource,,
com.android.support.test.espresso:espresso-intents,androidx.test.espresso:espresso-intents,,
com.android.support.test.espresso:espresso-remote,androidx.test.espresso:espresso-remote,,
com.android.support.test.espresso:espresso-web,androidx.test.espresso:espresso-web,,
com.android.support.test.janktesthelper:janktesthelper,androidx.test.jank:janktesthelper,,
com.android.support.test.services:test-services,androidx.test:test-services,,
com.android.support.test.uiautomator:uiautomator,androidx.test.uiautomator:uiautomator,,
com.android.support.test:monitor,androidx.test:monitor,,
com.android.support.test:orchestrator,androidx.test:orchestrator,,
com.android.support.test:rules,androidx.test:rules,,
com.android.support.test:runner,androidx.test:runner,,
com.android.support:animated-vector-drawable,androidx.vectordrawable:vectordrawable-animated,Xamarin.Android.Support.Animated.Vector.Drawable,Xamarin.AndroidX.VectorDrawable.Animated
com.android.support:appcompat-v7,androidx.appcompat:appcompat,Xamarin.Android.Support.v7.AppCompat,Xamarin.AndroidX.Appcompat.Appcompat
com.android.support:asynclayoutinflater,androidx.asynclayoutinflater:asynclayoutinflater,Xamarin.Android.Support.AsyncLayoutInflater,Xamarin.AndroidX.AsyncLayerInflater
com.android.support:car,androidx.car:car,,
com.android.support:cardview-v7,androidx.cardview:cardview,Xamarin.Android.Support.v7.CardView,Xamarin.AndroidX.CardView.CardView
com.android.support:collections,androidx.collection:collection,Xamarin.Android.Support.Collections,Xamarin.AndroidX.Collection.Collection
com.android.support:coordinatorlayout,androidx.coordinatorlayout:coordinatorlayout,Xamarin.Android.Support.CoordinaterLayout,Xamarin.AndroidX.CoordinatorLayout.CoordinatorLayout
com.android.support:cursoradapter,androidx.cursoradapter:cursoradapter,Xamarin.Android.Support.CursorAdapter,Xamarin.AndroidX.CursorAdapter.CursorAdapter
com.android.support:customtabs,androidx.browser:browser,Xamarin.Android.Support.CustomTabs,Xamarin.AndroidX.Browser.Browser
com.android.support:customview,androidx.customview:customview,Xamarin.Android.Support.CustomView,Xamarin.AndroidX.CustomView.CustomView
com.android.support:design,com.google.android.material:material,Xamarin.Android.Support.Design,Xamarin.AndroidX.Meterial.Material
com.android.support:documentfile,androidx.documentfile:documentfile,Xamarin.Android.Support.DocumentFile,Xamarin.AndroidX.DocumentFile.DocumentFile
com.android.support:drawerlayout,androidx.drawerlayout:drawerlayout,Xamarin.Android.Support.DrawerLayout,Xamarin.AndroidX.DrawerLayout.DrawerLayout
com.android.support:exifinterface,androidx.exifinterface:exifinterface,Xamarin.Android.Support.Exif,Xamarin.AndroidX.ExIfInterface.ExIfInterface
com.android.support:gridlayout-v7,androidx.gridlayout:gridlayout,Xamarin.Android.Support.v7.GridLayout,Xamarin.AndroidX.GridLayout.GridLayout
com.android.support:heifwriter,androidx.heifwriter:heifwriter,Xamarin.Android.Support.HeifWriter,Xamarin.AndroidX.HeifWriter.HeifWriter
com.android.support:interpolator,androidx.interpolator:interpolator,Xamarin.Android.Support.Interpolator,Xamarin.AndroidX.Interpolator.Interpolator
com.android.support:leanback-v17,androidx.leanback:leanback,Xamarin.Android.Support.v17.Leanback,Xamarin.AndroidX.Leanback.Leanback
com.android.support:loader,androidx.loader:loader,Xamarin.Android.Support.Loader,Xamarin.AndroidX.Loader.Loader
com.android.support:localbroadcastmanager,androidx.localbroadcastmanager:localbroadcastmanager,Xamarin.Android.Support.LocalBroadcastManager,Xamarin.AndroidX.LocalBroadcastManager.LocalBroadcastManager
com.android.support:media2,androidx.media2:media2,,
com.android.support:media2-exoplayer,androidx.media2:media2-exoplayer,,
com.android.support:mediarouter-v7,androidx.mediarouter:mediarouter,Xamarin.Android.Support.v7.MediaRouter,Xamarin.AndroidX.Mediarouter.Mediarouter
com.android.support:multidex,androidx.multidex:multidex,,
com.android.support:multidex-instrumentation,androidx.multidex:multidex-instrumentation,,
com.android.support:palette-v7,androidx.palette:palette,Xamarin.Android.Support.v7.Palette,Xamarin.AndroidX.Pallete.Pallete
com.android.support:percent,androidx.percentlayout:percentlayout,Xamarin.Android.Support.Percent,Xamarin.AndroidX.PercentLayout.PercentLayout
com.android.support:preference-leanback-v17,androidx.leanback:leanback-preference,Xamarin.Android.Support.v17.Preference.Leanback,Xamarin.AndroidX.Leanback.Preference
com.android.support:preference-v14,androidx.legacy:legacy-preference-v14,Xamarin.Android.Support.v14.Preference,Xamarin.AndroidX.Legacy.PreferenceV14
com.android.support:preference-v7,androidx.preference:preference,Xamarin.Android.Support.v7.Preference,Xamarin.AndroidX.Preference.Preference
com.android.support:print,androidx.print:print,Xamarin.Android.Support.Print,Xamarin.AndroidX.Print.Print
com.android.support:recommendation,androidx.recommendation:recommendation,Xamarin.Android.Support.Recommendation,Xamarin.AndroidX.Recommendation.Recommendation
com.android.support:recyclerview-selection,androidx.recyclerview:recyclerview-selection,Xamarin.Android.Support.RecyclerView.Selection,Xamarin.AndroidX.RecyclerView.Selection
com.android.support:recyclerview-v7,androidx.recyclerview:recyclerview,Xamarin.Android.Support.v7.RecyclerView,Xamarin.AndroidX.RecyclerView.RecyclerView
com.android.support:slices-builders,androidx.slice:slice-builders,Xamarin.Android.Support.Slices.Builders,Xamarin.AndroidX.Slice.Builders
com.android.support:slices-core,androidx.slice:slice-core,Xamarin.Android.Support.Slices.Core,Xamarin.AndroidX.Slice.Core
com.android.support:slices-view,androidx.slice:slice-view,Xamarin.Android.Support.Slices.View,Xamarin.AndroidX.Slice.View
com.android.support:slidingpanelayout,androidx.slidingpanelayout:slidingpanelayout,Xamarin.Android.Support.SlidingPaneLayout,Xamarin.AndroidX.SlidingPanelLayout.SlidingPanelLayout
com.android.support:support-annotations,androidx.annotation:annotation,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation.Annotation
com.android.support:support-compat,androidx.core:core,Xamarin.Android.Support.Compat,Xamarin.AndroidX.Core.Core
com.android.support:support-content,androidx.contentpager:contentpager,,Xamarin.AndroidX.ContentPager.ContentPager
com.android.support:support-core-ui,androidx.legacy:legacy-support-core-ui,Xamarin.Android.Support.Core.UI,Xamarin.AndroidX.Legacy.CoreUI
com.android.support:support-core-utils,androidx.legacy:legacy-support-core-utils,Xamarin.Android.Support.Core.Utils,Xamarin.AndroidX.Legacy.CoreUtils
com.android.support:support-dynamic-animation,androidx.dynamicanimation:dynamicanimation,Xamarin.Android.Support.Dynamic.Animation,Xamarin.AndroidX.DynamicAnimation.DynamicAnimation
com.android.support:support-emoji,androidx.emoji:emoji,Xamarin.Android.Support.Emoji,Xamarin.AndroidX.Emoji.Emoji
com.android.support:support-emoji-appcompat,androidx.emoji:emoji-appcompat,Xamarin.Android.Support.Emoji.AppCompat,Xamarin.AndroidX.Emoji.AppCompat
com.android.support:support-emoji-bundled,androidx.emoji:emoji-bundled,Xamarin.Android.Support.Emoji.Bundled,Xamarin.AndroidX.Emoji.Bundled
com.android.support:support-fragment,androidx.fragment:fragment,Xamarin.Android.Support.Fragment,Xamarin.AndroidX.Fragment.Fragment
com.android.support:support-media-compat,androidx.media:media,Xamarin.Android.Support.Media.Compat,Xamarin.AndroidX.Media.Media
com.android.support:support-tv-provider,androidx.tvprovider:tvprovider,Xamarin.Android.Support.TV.Provider,Xamarin.AndroidX.TvProvider.TvProvider
com.android.support:support-v13,androidx.legacy:legacy-support-v13,Xamarin.Android.Support.v13,Xamarin.AndroidX.Legacy.SupportV13
com.android.support:support-v4,androidx.legacy:legacy-support-v4,Xamarin.Android.Support.v4,Xamarin.AndroidX.Legacy.SupportV4
com.android.support:support-vector-drawable,androidx.vectordrawable:vectordrawable,Xamarin.Android.Support.Vector.Drawable,Xamarin.AndroidX.VectorDrawable.VectorDrawable
com.android.support:swiperefreshlayout,androidx.swiperefreshlayout:swiperefreshlayout,Xamarin.Android.Support.SwipeRefreshLayout,Xamarin.AndroidX.SwipeRefreshLayout.SwipeRefreshLayout
com.android.support:textclassifier,androidx.textclassifier:textclassifier,,
com.android.support:transition,androidx.transition:transition,Xamarin.Android.Support.Transition,Xamarin.AndroidX.Transition.Transition
com.android.support:versionedparcelable,androidx.versionedparcelable:versionedparcelable,Xamarin.Android.Support.VersionedParcelable,Xamarin.AndroidX.VersionedParcelable.VersionedParcelable
com.android.support:viewpager,androidx.viewpager:viewpager,Xamarin.Android.Support.ViewPager,Xamarin.AndroidX.ViewPager.ViewPager
com.android.support:wear,androidx.wear:wear,Xamarin.Android.Support.Wear,Xamarin.AndroidX.Wear.Wear
com.android.support:webkit,androidx.webkit:webkit,Xamarin.Android.Support.WebKit,Xamarin.AndroidX.WebKit.WebKit
